host_response_time,host_response_rate,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,year,month
,,f,3,-22.9802139,-43.20232435,Apartment,Entire home/apt,4,3,2,5,Real Bed,"{TV,""Cable TV"",Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Dryer}",969,"$1,298.00 ",,,1,$0.00 ,2,0,,,,,,,,f,f,flexible,2018,4
,,f,1,-22.98178308,-43.20076498,Apartment,Entire home/apt,4,3,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Breakfast,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",""Luggage dropoff allowed"",""Step-free access"",""Wide clearance to bed""}",969,$400.00 ,,,1,$0.00 ,1,12,96,10,10,10,10,10,9,f,f,strict,2018,4
within an hour,94%,f,6,-22.98623314,-43.20352792,Apartment,Entire home/apt,6,3,3,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox}",,"$1,728.00 ","$2,105.00 ",$211.00 ,3,$126.00 ,2,45,87,8,9,9,9,10,8,t,f,strict,2018,4
within an hour,96%,t,3,-22.98281707,-43.19571178,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$151.00 ,,,2,$46.00 ,3,116,97,10,10,10,10,10,9,t,f,strict,2018,4
,,f,1,-22.98498286,-43.19135454,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance""}",,$99.00 ,$512.00 ,$51.00 ,1,$34.00 ,1,79,93,10,9,10,10,10,9,f,f,strict,2018,4
within an hour,100%,f,10,-22.94508323,-43.18162271,Apartment,Entire home/apt,4,1,0,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Essentials,Hangers,Iron,""Laptop friendly workspace""}",258,$164.00 ,$0.00 ,$106.00 ,2,$106.00 ,3,70,86,9,8,9,9,9,9,t,f,strict,2018,4
within an hour,100%,t,6,-22.98630131,-43.19707824,Serviced apartment,Entire home/apt,5,1,1,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",,$308.00 ,$342.00 ,$120.00 ,2,$21.00 ,1,236,95,10,10,10,10,10,9,t,f,strict,2018,4
a few days or more,0%,f,1,-22.98448796,-43.23067691,Apartment,Private room,2,1,1,2,Pull-out Sofa,"{Wifi,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",0,$410.00 ,$342.00 ,$51.00 ,1,$0.00 ,2,13,86,9,10,10,9,10,7,f,f,strict,2018,4
within an hour,100%,f,1,-22.98490375,-43.19538874,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,Heating,""Smoke detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you"",""Paid parking on premises""}",,$256.00 ,"$1,025.00 ",$154.00 ,2,$683.00 ,2,12,97,9,10,10,10,10,9,f,f,strict,2018,4
within a day,100%,f,2,-22.9850878,-43.30055768,House,Private room,2,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Washer,Essentials,""Hair dryer"",Iron}",0,$201.00 ,,$50.00 ,2,$0.00 ,2,2,100,10,10,10,10,10,10,f,f,strict,2018,4
within a few hours,100%,f,1,-22.9802653,-43.19254658,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",,$106.00 ,"$1,370.00 ",$171.00 ,2,$68.00 ,3,129,87,9,8,10,10,9,9,f,f,strict,2018,4
