host_response_time,host_response_rate,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,year,month
,,f,1,-23.00813698,-43.42854775,Apartment,Entire home/apt,5,1,2,5,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",""Safety card"",""Fire extinguisher"",""24-hour check-in"",Hangers,""Hair dryer"",Iron}",,$199.00 ,,,1,$100.00 ,3,0,,,,,,,,f,f,strict,2018,4
within an hour,100%,t,6,-22.98456712,-43.20041768,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you""}",,$222.00 ,$0.00 ,$102.00 ,2,$34.00 ,4,110,98,10,10,10,10,10,10,t,f,strict,2018,4
within an hour,100%,f,26,-22.9701127,-43.18822163,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom""}",,$137.00 ,$600.00 ,$100.00 ,3,$80.00 ,4,89,97,10,10,10,10,10,10,t,f,strict,2018,4
,,f,1,-22.98278507,-43.21996327,Apartment,Entire home/apt,4,1,2,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",Washer}",,"$1,001.00 ","$3,000.00 ",$200.00 ,1,$0.00 ,7,0,,,,,,,,f,f,moderate,2018,4
within a day,100%,f,60,-22.9842042,-43.2111993,Apartment,Entire home/apt,5,1,2,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$223.00 ,"$1,712.00 ",$171.00 ,3,$51.00 ,1,3,100,9,10,9,9,10,8,f,f,strict,2018,4
within a day,50%,f,1,-22.93888784,-43.37374718,House,Entire home/apt,4,1,2,3,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Family/kid friendly"",Washer,""Bed linens"",""Host greets you""}",,$99.00 ,"$1,500.00 ",$100.00 ,4,$50.00 ,3,1,94,10,10,10,10,8,8,f,f,strict,2018,4
within a few hours,90%,f,2,-22.98597538,-43.19739926,Apartment,Entire home/apt,2,2,0,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",Other}",,$201.00 ,$417.00 ,$147.00 ,1,$0.00 ,3,50,91,9,8,9,9,10,9,f,f,strict,2018,4
a few days or more,0%,f,4,-22.93871826,-43.19853035,Bed and breakfast,Private room,5,1,1,3,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Hot tub"",Washer}",,$386.00 ,,,2,$115.00 ,1,0,,,,,,,,f,f,moderate,2018,4
a few days or more,0%,f,4,-22.9384982,-43.19717433,House,Private room,5,1,1,4,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Essentials}",,$314.00 ,,,1,$0.00 ,1,0,,,,,,,,f,f,moderate,2018,4
a few days or more,0%,f,4,-22.93837983,-43.198011,House,Shared room,4,1,1,4,Real Bed,"{Wifi,""Air conditioning"",Breakfast,""Pets live on this property"",Dog(s),Cat(s)}",,$99.00 ,,,1,$98.00 ,1,0,,,,,,,,f,f,moderate,2018,4
within a few hours,100%,f,3,-22.96832671,-43.18139782,Apartment,Entire home/apt,7,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Self check-in"",""Front desk/doorperson""}",1507,"$1,082.00 ",$856.00 ,$240.00 ,6,$106.00 ,1,1,100,10,10,10,10,10,10,f,f,strict,2018,4
within a day,100%,f,2,-22.98398575,-43.20839884,Apartment,Entire home/apt,6,3,2,2,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Bed linens"",""Extra pillows and blankets""}",915,$499.00 ,"$1,000.00 ",$170.00 ,4,$100.00 ,3,8,94,10,9,10,10,10,9,f,f,strict,2018,4
within a day,75%,f,3,-22.98815666,-43.19384487,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Family/kid friendly"",""Host greets you""}",,$451.00 ,$325.00 ,$100.00 ,2,$100.00 ,1,17,84,9,8,9,10,9,8,f,f,strict,2018,4
within an hour,100%,f,9,-22.96447367,-43.19010784,Apartment,Entire home/apt,8,1,2,6,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Gym,Elevator,""Family/kid friendly"",Washer}",,$249.00 ,"$1,000.00 ",$150.00 ,1,$0.00 ,1,0,,,,,,,,f,f,strict,2018,4
within a few hours,83%,f,10,-22.98206362,-43.18994045,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Hangers,""Hair dryer"",Iron}",,$161.00 ,$600.00 ,$140.00 ,2,$38.00 ,3,15,86,9,9,9,10,9,9,f,f,strict,2018,4
,,f,2,-22.95423184,-43.19316854,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Family/kid friendly"",Washer,""First aid kit"",Essentials}",,$247.00 ,$500.00 ,$90.00 ,1,$0.00 ,3,2,100,10,10,10,10,10,10,f,f,strict,2018,4
,,f,2,-22.96900209,-43.18342897,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials}",1076,$335.00 ,,,3,$0.00 ,5,27,97,10,10,10,10,10,10,f,f,strict,2018,4
within an hour,100%,f,2,-22.97633053,-43.22719712,Apartment,Entire home/apt,4,2,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson""}",,$451.00 ,"$1,000.00 ",$150.00 ,1,$0.00 ,2,12,96,10,10,10,10,10,9,f,f,strict,2018,4
,,f,1,-22.93750389,-43.19215368,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Elevator,Essentials,Shampoo,Hangers,""Hair dryer"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",0,$164.00 ,,$100.00 ,1,$50.00 ,3,0,,,,,,,,t,f,flexible,2018,4
within an hour,90%,f,55,-22.98542669,-43.20643998,Apartment,Private room,2,1,1,1,Real Bed,"{""Cable TV"",Internet,""Air conditioning""}",,$273.00 ,,,1,$0.00 ,1,0,,,,,,,,f,f,strict,2018,4
within an hour,90%,f,55,-22.98592768,-43.20538815,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{""Cable TV"",Internet,""Air conditioning""}",,$273.00 ,"$1,366.00 ",,1,$0.00 ,3,8,93,9,9,9,9,10,9,f,f,strict,2018,4
,,f,1,-22.96376909,-43.17862531,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",484,$161.00 ,$820.00 ,$137.00 ,2,$27.00 ,4,57,96,9,10,10,10,10,9,f,f,strict,2018,4
within an hour,90%,f,55,-22.98610699,-43.20631239,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{""Cable TV"",Internet,""Air conditioning""}",323,$445.00 ,,,1,$0.00 ,1,1,100,10,10,10,10,10,10,f,f,flexible,2018,4
,,f,1,-22.95293093,-43.19250847,Apartment,Entire home/apt,3,1,0,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""24-hour check-in""}",269,$75.00 ,,$85.00 ,1,$25.00 ,1,22,88,10,9,10,10,10,9,t,f,moderate,2018,4
within an hour,90%,f,55,-22.98617538,-43.2063728,Apartment,Private room,2,1,1,1,Real Bed,"{""Cable TV"",Internet,""Air conditioning""}",,$444.00 ,,,1,$0.00 ,2,2,90,9,9,10,9,10,7,f,f,strict,2018,4
within an hour,100%,t,1,-22.98118279,-43.19588612,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Essentials,""24-hour check-in"",Hangers,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Long term stays allowed"",""Host greets you""}",269,$154.00 ,$512.00 ,$273.00 ,2,$34.00 ,3,54,97,10,10,10,10,10,10,f,f,strict,2018,4
a few days or more,0%,f,2,-22.98478717,-43.22729176,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo}",0,$581.00 ,$683.00 ,$171.00 ,2,$205.00 ,4,11,98,10,10,10,10,10,9,f,f,strict,2018,4
within a few hours,100%,f,3,-22.96610855,-43.18064093,Apartment,Entire home/apt,6,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,""Hot water"",""Host greets you""}",1076,$854.00 ,$683.00 ,$239.00 ,6,$106.00 ,1,5,96,10,10,10,10,10,10,f,f,strict,2018,4
,,f,1,-22.95517762,-43.1984639,Apartment,Entire home/apt,4,2,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Washer,Shampoo}",861,$249.00 ,,$120.00 ,4,$100.00 ,4,3,100,10,10,10,10,9,9,f,f,moderate,2018,4
within a few hours,100%,f,1,-22.98006004,-43.22466004,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo,Iron,""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",484,$567.00 ,$0.00 ,$150.00 ,1,$75.00 ,1,2,90,10,10,10,10,10,9,t,f,flexible,2018,4
within an hour,100%,t,11,-22.98020746,-43.19280003,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",0,$161.00 ,$350.00 ,$100.00 ,1,$0.00 ,3,18,94,10,10,10,10,9,9,t,f,strict,2018,4
within a few hours,100%,f,1,-22.96636172,-43.22920333,House,Entire home/apt,3,1.5,1,2,Pull-out Sofa,"{TV,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom""}",0,$449.00 ,,$100.00 ,2,$50.00 ,1,11,89,9,9,10,10,9,9,f,f,strict,2018,4
within an hour,100%,t,1,-22.97624963,-43.18949831,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Washer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Long term stays allowed"",""Wide doorway""}",,$123.00 ,$500.00 ,$100.00 ,2,$30.00 ,3,71,94,10,10,10,10,10,9,f,f,strict_14_with_grace_period,2018,4
within an hour,100%,f,8,-22.96687334,-43.181998,Apartment,Private room,2,1,1,1,Airbed,"{""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator}",,$161.00 ,$400.00 ,,2,$100.00 ,3,2,96,10,8,10,10,10,10,f,f,strict,2018,4
,,f,1,-22.97007415,-43.18896402,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Smoking allowed"",Doorman,Breakfast,Elevator,Washer}",80,$335.00 ,,$70.00 ,1,$70.00 ,7,0,,,,,,,,f,f,strict,2018,4
within a few hours,80%,f,1,-22.94428259,-43.18377971,Loft,Entire home/apt,4,1,1,2,Real Bed,"{Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo}",,$157.00 ,$523.00 ,$123.00 ,1,$102.00 ,3,5,92,9,9,10,10,10,10,t,f,moderate,2018,4
within a day,60%,f,42,-23.01351398,-43.39145942,Apartment,Entire home/apt,5,1,1,1,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""24-hour check-in""}",,$386.00 ,,$100.00 ,1,$0.00 ,1,7,91,10,9,10,10,10,9,t,f,strict,2018,4
within a few hours,100%,f,3,-22.95955193,-43.16566278,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer}",,$307.00 ,,$205.00 ,1,$0.00 ,4,8,91,10,9,8,9,10,9,f,f,strict,2018,4
within a few hours,100%,f,3,-22.96335196,-43.17683674,Apartment,Entire home/apt,4,1,1,3,Real Bed,"{TV,Internet,Wifi,Kitchen,Doorman,Elevator}",,$205.00 ,,$205.00 ,1,$0.00 ,1,3,73,8,7,10,10,9,9,f,f,strict,2018,4
within a day,100%,f,60,-22.97224168,-43.17710773,Apartment,Entire home/apt,10,3,3,7,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}",1184,"$1,301.00 ",$856.00 ,$171.00 ,8,$120.00 ,3,3,100,10,9,9,10,10,10,f,f,strict,2018,4
,,f,1,-22.93674943,-43.19398218,Apartment,Private room,6,8,1,8,Real Bed,"{TV,Kitchen,""Smoking allowed"",""Pets allowed"",""Buzzer/wireless intercom"",Washer}",,$181.00 ,"$1,000.00 ",$100.00 ,1,$100.00 ,5,0,,,,,,,,f,f,strict,2018,4
,,f,1,-22.97224969,-43.35652055,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""translation missing: en.hosting_amenity_50""}",,$502.00 ,,$63.00 ,3,$211.00 ,2,2,100,10,10,10,10,10,10,f,f,flexible,2018,4
,,f,2,-22.96733761,-43.1816256,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer}",,$215.00 ,$500.00 ,$100.00 ,1,$0.00 ,7,1,100,10,10,10,10,10,10,f,f,strict,2018,4
within an hour,100%,t,3,-22.98357438,-43.226111,Apartment,Entire home/apt,5,2,2,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Room-darkening shades"",""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",,$270.00 ,"$1,000.00 ",$180.00 ,1,$0.00 ,2,51,93,9,9,10,10,10,9,t,f,moderate,2018,4
within a day,100%,f,2,-22.98165753,-43.20217566,Apartment,Private room,2,1,1,1,Pull-out Sofa,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",Washer,""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",,$120.00 ,,$150.00 ,1,$0.00 ,2,1,100,10,10,10,10,10,8,f,f,flexible,2018,4
,,f,1,-22.94973478,-43.19225565,Apartment,Private room,2,1.5,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Buzzer/wireless intercom"",Washer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens""}",,$120.00 ,"$1,000.00 ",$50.00 ,2,$0.00 ,2,4,95,10,10,10,10,10,10,f,f,moderate,2018,4
within a few hours,100%,f,14,-22.99076352,-43.22911308,Apartment,Entire home/apt,2,1,1,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Suitable for events""}",,$239.00 ,,,1,$0.00 ,7,3,90,8,7,10,10,10,8,f,f,strict,2018,4
within a day,60%,f,42,-22.9651382,-43.17246564,Apartment,Entire home/apt,8,2,3,5,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Washer,Dryer}",,"$1,499.00 ",$0.00 ,$200.00 ,1,$0.00 ,1,3,93,9,8,10,10,10,8,f,f,strict,2018,4
within a day,80%,f,4,-22.91926047,-43.17670835,House,Entire home/apt,5,1,1,2,Real Bed,"{Wifi,Kitchen,""Smoking allowed"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",,$99.00 ,$500.00 ,$60.00 ,2,$50.00 ,1,88,96,10,9,10,10,9,9,f,f,strict,2018,4
within an hour,100%,t,25,-22.9896623,-43.18992189,Condominium,Entire home/apt,6,1,1,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Pack ’n Play/travel crib"",""Long term stays allowed"",""Host greets you""}",,$171.00 ,$300.00 ,$150.00 ,2,$25.00 ,4,48,98,10,10,10,10,10,10,t,f,strict,2018,4
within an hour,100%,f,1,-22.96888419,-43.18975133,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",,$151.00 ,$400.00 ,$150.00 ,1,$0.00 ,4,79,95,10,10,10,10,10,9,t,f,strict,2018,4
within a few hours,100%,t,2,-22.96341372,-43.17925228,Apartment,Entire home/apt,6,2,2,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",0,$199.00 ,,,4,$60.00 ,2,64,94,9,9,10,10,10,9,f,f,strict,2018,4
,,f,6,-23.02993206,-43.47119644,Apartment,Entire home/apt,4,1,2,3,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",700,$127.00 ,,$125.00 ,2,$125.00 ,5,3,87,9,9,9,9,9,7,f,f,strict,2018,4
within a few hours,100%,t,2,-22.9857532,-43.19156213,Apartment,Entire home/apt,6,3,3,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,Bathtub,""Baby bath"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Children’s dinnerware"",""Game console"",""Hot water"",""Host greets you""}",1722,$499.00 ,$400.00 ,$130.00 ,1,$0.00 ,2,50,99,10,10,10,10,10,10,f,f,strict,2018,4
,,f,1,-22.94028079,-43.17077448,Apartment,Entire home/apt,5,3,3,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",1076,$281.00 ,"$1,800.00 ",$180.00 ,8,$80.00 ,3,2,60,8,8,8,8,6,6,f,f,strict,2018,4
within a few hours,100%,t,4,-22.91343572,-43.18495225,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Long term stays allowed"",""Host greets you""}",,$79.00 ,$0.00 ,$0.00 ,1,$50.00 ,4,62,87,9,9,9,9,9,9,f,f,strict,2018,4
within a few hours,75%,f,3,-22.98122318,-43.19988994,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Doorman,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""Hot water"",""Bed linens"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$150.00 ,$350.00 ,$90.00 ,1,$40.00 ,2,2,100,10,10,10,10,10,10,t,f,strict,2018,4
,,f,3,-22.94622459,-43.33605118,House,Private room,2,1,1,1,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Pool,""Free parking on premises"",Breakfast,""Pets live on this property"",Cat(s),Washer,Dryer,Essentials,""Hot water"",""Bed linens""}",,$181.00 ,,,2,$100.00 ,3,9,93,9,10,10,10,8,9,f,f,strict,2018,4
,,f,3,-22.9480551,-43.33549041,House,Private room,2,1,1,1,Real Bed,"{Wifi,""Air conditioning"",Pool,""Free parking on premises"",Breakfast,Washer,Dryer,""Fire extinguisher""}",,$181.00 ,,,2,$100.00 ,3,6,90,9,9,10,10,9,9,f,f,strict,2018,4
,,f,1,-22.98371456,-43.2125935,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Washer,Dryer}",1938,"$1,878.00 ","$8,538.00 ",,1,$0.00 ,3,0,,,,,,,,f,f,strict,2018,4
,,f,1,-22.98528153,-43.20522642,Apartment,Entire home/apt,4,1,2,2,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer}",,"$1,434.00 ","$10,245.00 ","$1,025.00 ",1,"$1,025.00 ",20,1,,,,,,,,f,f,flexible,2018,4
,,f,1,-22.94480351,-43.18649503,Apartment,Private room,2,2,1,1,Futon,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Buzzer/wireless intercom"",Washer}",,$219.00 ,,,1,$0.00 ,1,0,,,,,,,,f,f,flexible,2018,4
within an hour,90%,f,55,-22.98567266,-43.20827943,Apartment,Private room,3,1,1,1,Real Bed,"{""Cable TV"",Internet,""Air conditioning""}",,$273.00 ,,,1,$0.00 ,3,2,97,10,10,10,10,10,8,f,f,strict,2018,4
,,f,1,-22.9030438,-43.1823802,Apartment,Private room,4,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,""Pets live on this property"",Cat(s),Elevator,Washer}",323,$307.00 ,,$102.00 ,2,$171.00 ,1,1,,,,,,,,t,f,flexible,2018,4
within an hour,70%,t,4,-22.96114712,-43.17501906,Apartment,Entire home/apt,8,2,2,5,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Host greets you""}",753,$249.00 ,,$150.00 ,4,$50.00 ,10,42,90,10,8,9,9,9,9,f,f,strict,2018,4
